layer,rank,theta,score
11,4,0.3,   0.06010772327925773
11,4,0.6,   0.040667607104986514
11,4,1,     4.440892098500626e-16
11,8,0.3,   0.05509475531315533
11,8,0.6,   0.036809765616258705
11,8,1,     4.440892098500626e-16
11,16,0.3,  0.034090005392266365
11,16,0.6,  0.031952429980380836
11,16,1,    4.440892098500626e-16
11,32,0.3,  0.02214711934399949
11,32,0.6,  0.019977681533982272
11,32,1,    -2.220446049250313e-16
11,64,0.3,  0.0478115800821568
11,64,0.6,  0.04692391033933929
11,64,1,    0.0
