layer,rank,theta,score
0,4,0.01,0.22429002266754008
0,4,0.1,0.2593820238113632
0,4,0.15,0.2753674585622019
0,4,0.2,0.28983503409276096
0,4,0.25,0.3036599697256062
0,4,0.3,0.3737788591527749
0,4,0.6,0.49670432854532626
0,4,1.0,0.264309725456103
0,8,0.01,0.41789840972790393
0,8,0.1,0.44124425790386546
0,8,0.15,0.4855733125257107
0,8,0.2,0.5459119369985806
0,8,0.25,0.6084906302705947
0,8,0.3,0.6126650786732516
0,8,0.6,0.6059212649262797
0,8,1.0,0.264309725456103
0,16,0.01,-1.0119125355018739
0,16,0.1,-0.8527826627149062
0,16,0.15,-0.6931201071044919
0,16,0.2,-0.5900334706224007
0,16,0.25,-0.5004328340139403
0,16,0.3,-0.39966908454744554
0,16,0.6,0.02903164508072968
0,16,1.0,0.264309725456103
0,32,0.01,0.22498726854768353
0,32,0.1,0.24216270949436658
0,32,0.15,0.2516143112151901
0,32,0.2,0.2607891472835111
0,32,0.25,0.2696204745696855
0,32,0.3,0.27800812190803725
0,32,0.6,0.3219628440209419
0,32,1.0,0.264309725456103
0,64,0.01,0.5283742787753516
0,64,0.1,0.5455736449268856
0,64,0.15,0.5587235991042835
0,64,0.2,0.5708550859959302
0,64,0.25,0.5799064769741928
0,64,0.3,0.5855678140813978
0,64,0.6,0.5753255475137488
0,64,1.0,0.264309725456103
1,4,0.01,-13.43359676540772
1,4,0.1,-13.340074799837915
1,4,0.15,-13.222747446683943
1,4,0.2,-13.251828939721019
1,4,0.25,-13.244564350005493
1,4,0.3,-13.209553641523808
1,4,0.6,-2.518400819162413
1,4,1.0,-2.264422608762263
1,8,0.01,-12.561494461752197
1,8,0.1,-2.5907354511641967
1,8,0.15,-2.22036909393486
1,8,0.2,-2.001978939638201
1,8,0.25,-1.996189519079898
1,8,0.3,-2.096842636120291
1,8,0.6,-2.210720545937484
1,8,1.0,-2.264422608762263
1,16,0.01,-2.2176480078973224
1,16,0.1,-2.223885209468361
1,16,0.15,-2.2847376740153127
1,16,0.2,-2.3052110594027497
1,16,0.25,-2.3341035028917356
1,16,0.3,-2.3716360217245223
1,16,0.6,-2.5080033902604044
1,16,1.0,-2.264422608762263
1,32,0.01,-3.286236428707564
1,32,0.1,-2.9019283460014695
1,32,0.15,-1.7850501308542923
1,32,0.2,-2.4407599096620585
1,32,0.25,-2.368121268339226
1,32,0.3,-2.414015482154255
1,32,0.6,-2.4526958248713955
1,32,1.0,-2.264422608762263
1,64,0.01,-2.847479193360012
1,64,0.1,-2.851391529951193
1,64,0.15,-2.851118215676774
1,64,0.2,-2.8502545225668015
1,64,0.25,-2.849098261262686
1,64,0.3,-2.8478012382579374
1,64,0.6,-2.842925168555268
1,64,1.0,-2.264422608762263
2,4,0.01,-0.04811730712936768
2,4,0.1,-0.6206669303058792
2,4,0.15,-0.6825472691993067
2,4,0.2,-0.8856845339831407
2,4,0.25,-1.0239074299499367
2,4,0.3,-1.0933912425715535
2,4,0.6,-1.6467726454227207
2,4,1.0,-1.87908753457837
2,8,0.01,-3.6830991611279282
2,8,0.1,-3.515554264102961
2,8,0.15,-3.3976332939114107
2,8,0.2,-3.2635778249181673
2,8,0.25,-3.161196539464707
2,8,0.3,-3.0611914714128607
2,8,0.6,-2.8494511539201537
2,8,1.0,-1.87908753457837
2,16,0.01,-2.5121482095101877
2,16,0.1,-2.4840155450812835
2,16,0.15,-2.4701239774591364
2,16,0.2,-2.455752217658188
2,16,0.25,-2.4482422856889112
2,16,0.3,-2.4669092728419946
2,16,0.6,-2.3823666066747133
2,16,1.0,-1.87908753457837
2,32,0.01,-1.7286687534365428
2,32,0.1,-2.359362053888294
2,32,0.15,-2.399052056950649
2,32,0.2,-2.3524413721650745
2,32,0.25,-2.236877382422014
2,32,0.3,-1.7337056679447174
2,32,0.6,-1.5478250028355838
2,32,1.0,-1.87908753457837
2,64,0.01,-0.9705812867084083
2,64,0.1,-0.9348146114006886
2,64,0.15,-0.9144165541894942
2,64,0.2,-0.8936039288630486
2,64,0.25,-0.8723288994901601
2,64,0.3,-0.8505463212530445
2,64,0.6,-0.7027419662923844
2,64,1.0,-1.87908753457837
3,4,0.01,-0.531995402065895
3,4,0.1,-0.4023103772404437
3,4,0.15,-0.36586373379276305
3,4,0.2,-0.3048801126693197
3,4,0.25,-0.0740896762366523
3,4,0.3,0.08713310134969121
3,4,0.6,0.8136710765313958
3,4,1.0,0.4149459965559099
3,8,0.01,0.08698979966848125
3,8,0.1,0.09890625581632334
3,8,0.15,0.11223905385301375
3,8,0.2,0.12892386660660832
3,8,0.25,0.15293928310399024
3,8,0.3,0.18986796995831584
3,8,0.6,0.642660005761968
3,8,1.0,0.4149459965559099
3,16,0.01,1.7212403053454837
3,16,0.1,1.3591220876073586
3,16,0.15,1.1678537377073448
3,16,0.2,1.0793404403048983
3,16,0.25,1.0381345711327463
3,16,0.3,1.04376900215369
3,16,0.6,1.5191719212647712
3,16,1.0,0.4149459965559099
3,32,0.01,-0.07940349317833406
3,32,0.1,0.23580490661989045
3,32,0.15,0.5340458183630741
3,32,0.2,0.5258336469807858
3,32,0.25,0.55648678224968
3,32,0.3,0.5278640260094236
3,32,0.6,1.0910842845230841
3,32,1.0,0.4149459965559099
3,64,0.01,0.2997173891542724
3,64,0.1,0.33325112851561156
3,64,0.15,0.35292880195967447
3,64,0.2,0.3734705040963917
3,64,0.25,0.3949447650682283
3,64,0.3,0.41750450840197134
3,64,0.6,0.5840935427185555
3,64,1.0,0.4149459965559099
4,4,0.01,-0.17457206439475637
4,4,0.1,-0.3172131062349903
4,4,0.15,-0.36547962685012947
4,4,0.2,-0.3958271294970501
4,4,0.25,-0.4137027137044307
4,4,0.3,-0.44002080844707137
4,4,0.6,0.05731258757663493
4,4,1.0,1.8972264723315788
4,8,0.01,-1.499974793881027
4,8,0.1,-1.4489911468368284
4,8,0.15,-1.4051343211481784
4,8,0.2,-1.3300059859285742
4,8,0.25,-1.208873375508571
4,8,0.3,-1.0390591137500111
4,8,0.6,0.4591257347620876
4,8,1.0,1.8972264723315788
4,16,0.01,2.446459161279247
4,16,0.1,2.503132546577122
4,16,0.15,2.5468157657763806
4,16,0.2,2.5404054418456132
4,16,0.25,2.511685175031367
4,16,0.3,2.4700957494572124
4,16,0.6,2.819974085756218
4,16,1.0,1.8972264723315788
4,32,0.01,2.3143505614000386
4,32,0.1,2.358161315831992
4,32,0.15,2.380803469817617
4,32,0.2,2.4028803409987707
4,32,0.25,2.424674996058543
4,32,0.3,2.4463988654079847
4,32,0.6,2.5794991758673285
4,32,1.0,1.8972264723315788
4,64,0.01,2.7415773823955547
4,64,0.1,2.770196850116049
4,64,0.15,2.7862364900125156
4,64,0.2,2.8023533964310445
4,64,0.25,2.8184843682838294
4,64,0.3,2.8345828018736974
4,64,0.6,2.92596163703384
4,64,1.0,1.8972264723315788
